AREA,YIELD,PS,TS,QV2M,WS2M,CLOUD_AMT,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,RH2M,GWETROOT,T2M_RANGE,Nitrogen(N),Phosphorous(P),Potassium(K),Soil Type,Soil Depth
82.27238494082965,1611.6548097742036,95.72946792927833,27.726035229811107,10.939972900145301,2.671321590062964,45.205435409452704,19.257356819874072,8.770721769704554,51.753788621133346,0.65,36.62745166936552,Low,Low,High,Black,100-300
3.630385329284247,1542.854180168503,97.00887651004619,28.060048746848384,10.65175255347999,2.555208913591585,46.47182915272446,19.515626740774756,9.35475858850949,49.59126973049897,0.6491318477347359,37.76926183933043,Low,Low,High,Black,100-300
3.8570432534750485,1542.854180168503,96.17995610157698,27.836628793003165,10.590231116913916,2.5940645577385797,48.05195868136891,19.63219367321574,9.464849580259308,49.74993027743253,0.64265590704357,37.16699935505201,Low,Low,High,Black,100-300
3.7591911670804077,1542.854180168503,96.53781516039166,27.93308299244931,10.616790968935318,2.577289914356641,47.369789850503416,19.581869743069923,9.417321424010483,49.681433816956286,0.6454516809405598,37.427006327472064,Low,Low,High,Black,100-300
4.518800009653011,1570.295895641107,96.59168999444952,27.57317499457018,10.929897502835573,2.481089999276024,44.90476998576181,19.362179998552048,9.33425749993967,52.2287775279334,0.6385149998793374,38.01653250174961,Low,Low,High,Black,100-300
3.4637703756956197,1621.4168970814133,95.94842523098234,27.354360028756346,10.614590125231874,2.6135738246753775,43.994047249070476,19.59081974953625,9.471688636827567,51.004952042672805,0.6454590125231874,37.532130876623114,Low,Low,High,Black,100-300
3.650718415001828,1542.854180168503,96.93451551085046,28.040006133783912,10.646233573070933,2.5586945854288845,46.61357980744131,19.526083756286653,9.364634658715174,49.60550289050128,0.6485509024285192,37.71523392585229,Low,Low,High,Black,100-300
92.50467917920906,1611.6548097742036,95.85370249913178,27.71306291965733,11.017150273500823,2.590192427355852,45.729261439280044,19.195912646156508,8.69897556581384,51.96225167862932,0.6418356752141684,37.07721257090772,Low,Low,High,Black,100-300
108.61104586264781,1611.6548097742036,96.63617492311445,27.75875474003588,11.217051987656976,2.2760611622533227,47.825373699146006,19.041702752378903,8.590457492414783,52.14501896014352,0.6132782874775748,38.95628868397558,Low,Low,High,Black,100-300
116.37832838989023,1551.6288659793815,96.80690967951365,27.866977621840697,11.275208951263721,2.2100194120934407,49.39492693339036,19.00131194386265,8.569572391425837,52.13606416841205,0.6069582097472557,39.10286708141178,Low,Low,High,Black,100-300
