-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2019 in LST
Location: Latitude  20.4   Longitude 78.1333 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 320.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_PAR_TOT,1990,8.49,9.4,11.02,12.03,11.26,9.0,8.05,7.81,8.14,8.63,8.32,7.65,9.15
ALLSKY_SFC_PAR_TOT,1991,7.86,9.78,11.18,11.93,12.46,9.65,7.8,7.11,10.04,9.27,7.53,7.56,9.35
ALLSKY_SFC_PAR_TOT,1992,8.3,9.78,10.81,11.43,12.59,10.58,9.76,6.85,9.06,8.74,7.62,7.95,9.46
ALLSKY_SFC_PAR_TOT,1993,8.33,9.71,10.85,11.91,12.26,10.47,8.17,7.55,7.89,8.82,8.33,7.17,9.29
ALLSKY_SFC_PAR_TOT,1994,7.69,9.66,11.49,11.09,12.56,8.3,6.91,6.77,8.74,8.75,8.34,7.74,9.0
ALLSKY_SFC_PAR_TOT,1995,7.6,9.74,10.36,11.81,11.61,10.95,7.96,8.63,8.74,8.35,7.91,7.56,9.27
ALLSKY_SFC_PAR_TOT,1996,7.7,9.21,10.75,11.33,12.22,10.7,7.8,7.27,8.99,8.42,8.24,7.18,9.15
ALLSKY_SFC_PAR_TOT,1997,7.47,9.95,10.37,11.26,12.44,10.79,7.89,8.24,8.61,8.6,6.78,5.72,9.01
ALLSKY_SFC_PAR_TOT,1998,7.35,9.46,10.64,11.75,12.11,9.3,7.95,8.53,7.89,8.45,7.59,7.85,9.07
ALLSKY_SFC_PAR_TOT,1999,8.65,9.76,11.39,12.31,11.81,9.5,7.47,7.55,6.0,9.05,8.57,8.11,9.18
ALLSKY_SFC_PAR_TOT,2000,8.53,8.62,11.5,12.39,11.74,8.78,8.23,8.15,9.32,9.88,8.5,7.85,9.46
ALLSKY_SFC_PAR_TOT,2001,6.97,8.78,9.49,10.63,11.54,7.83,6.76,6.49,8.96,8.21,8.06,7.21,8.41
ALLSKY_SFC_PAR_TOT,2002,7.26,8.24,9.96,11.22,11.61,8.25,8.15,5.79,8.95,8.94,8.18,7.23,8.65
ALLSKY_SFC_PAR_TOT,2003,7.2,8.66,9.97,11.09,11.68,9.77,7.19,6.74,6.7,8.48,8.1,7.27,8.57
ALLSKY_SFC_PAR_TOT,2004,7.17,9.26,10.25,11.61,11.3,9.44,7.8,6.78,8.65,9.11,7.73,7.28,8.86
ALLSKY_SFC_PAR_TOT,2005,6.67,9.25,10.36,10.58,10.96,9.58,6.32,7.46,7.82,7.96,8.32,7.24,8.54
ALLSKY_SFC_PAR_TOT,2006,7.93,9.18,9.54,11.05,11.04,9.1,6.52,6.7,8.38,8.59,7.22,6.94,8.52
ALLSKY_SFC_PAR_TOT,2007,7.46,8.73,9.79,11.02,11.36,8.68,7.66,7.63,7.79,8.92,7.91,7.01,8.66
ALLSKY_SFC_PAR_TOT,2008,7.25,8.37,9.17,11.47,11.91,7.62,6.95,7.21,8.08,8.95,7.31,7.08,8.45
ALLSKY_SFC_PAR_TOT,2009,7.3,8.45,9.52,11.4,11.34,9.96,6.68,7.44,8.92,8.65,7.22,6.84,8.64
ALLSKY_SFC_PAR_TOT,2010,7.67,8.12,9.67,11.23,11.48,9.62,6.7,7.21,7.69,7.56,7.16,6.75,8.4
ALLSKY_SFC_PAR_TOT,2011,7.72,8.38,10.15,10.7,11.32,8.26,7.26,7.04,7.94,8.7,7.85,7.01,8.53
ALLSKY_SFC_PAR_TOT,2012,6.98,8.5,10.1,10.95,11.16,9.14,5.94,6.19,8.0,8.62,7.09,7.2,8.32
ALLSKY_SFC_PAR_TOT,2013,6.79,8.28,9.6,10.85,11.29,7.08,5.13,6.06,8.34,7.63,7.39,6.96,7.95
ALLSKY_SFC_PAR_TOT,2014,6.47,8.25,9.58,10.61,10.68,9.78,6.81,8.13,7.8,8.14,7.43,6.72,8.37
ALLSKY_SFC_PAR_TOT,2015,6.97,8.6,9.29,10.78,11.05,8.45,7.94,6.97,8.63,8.51,7.39,6.71,8.44
ALLSKY_SFC_PAR_TOT,2016,7.07,7.91,9.44,10.94,11.54,9.19,6.71,7.76,7.33,8.4,7.7,7.11,8.43
ALLSKY_SFC_PAR_TOT,2017,6.98,8.97,10.31,11.39,11.08,8.91,7.05,7.04,8.21,7.95,7.57,7.04,8.54
ALLSKY_SFC_PAR_TOT,2018,7.57,8.12,8.84,10.78,10.83,9.21,5.77,6.06,8.43,9.14,7.57,5.88,8.19
ALLSKY_SFC_PAR_TOT,2019,6.98,8.6,10.01,10.9,11.71,10.03,7.18,6.24,6.14,7.34,7.32,6.05,8.21
ALLSKY_SFC_SW_DWN,1990,18.82,20.12,23.46,25.74,22.46,17.5,15.48,15.08,16.04,18.22,18.17,16.46,18.96
ALLSKY_SFC_SW_DWN,1991,16.32,20.51,23.89,25.51,25.56,18.86,14.81,13.87,19.94,19.83,16.59,16.32,19.33
ALLSKY_SFC_SW_DWN,1992,17.77,20.76,22.97,24.49,26.24,20.83,18.78,13.56,18.03,18.42,16.79,17.24,19.66
ALLSKY_SFC_SW_DWN,1993,17.95,20.93,23.25,25.54,25.47,20.45,15.52,14.93,15.73,18.53,18.31,15.29,19.33
ALLSKY_SFC_SW_DWN,1994,16.11,20.32,25.04,23.48,25.84,16.4,13.82,13.54,17.52,18.42,18.36,16.66,18.79
ALLSKY_SFC_SW_DWN,1995,15.8,20.36,21.79,24.88,23.73,21.69,15.25,16.46,17.48,17.58,17.53,16.31,19.07
ALLSKY_SFC_SW_DWN,1996,15.96,19.39,23.18,23.88,25.28,20.52,14.94,14.2,17.85,17.82,18.31,15.55,18.91
ALLSKY_SFC_SW_DWN,1997,15.57,21.52,22.24,23.93,25.69,21.15,15.27,15.89,17.18,18.37,14.62,11.52,18.58
ALLSKY_SFC_SW_DWN,1998,14.86,19.75,22.64,24.84,24.77,18.41,15.11,16.24,15.75,17.95,16.59,17.09,18.67
ALLSKY_SFC_SW_DWN,1999,18.78,20.53,24.51,26.69,23.98,18.53,14.51,14.87,12.49,19.09,18.99,17.78,19.23
ALLSKY_SFC_SW_DWN,2000,18.31,18.07,24.86,26.76,24.15,17.23,15.69,15.76,18.7,20.96,18.97,17.19,19.72
ALLSKY_SFC_SW_DWN,2001,15.91,20.19,21.28,23.61,24.99,16.32,13.98,13.59,19.22,17.84,17.94,16.31,18.43
ALLSKY_SFC_SW_DWN,2002,16.41,18.28,22.45,25.12,25.36,17.28,17.29,11.97,19.25,19.58,18.28,16.17,18.95
ALLSKY_SFC_SW_DWN,2003,16.34,19.16,22.52,24.56,26.05,20.76,14.89,14.1,14.14,18.42,18.0,16.32,18.77
ALLSKY_SFC_SW_DWN,2004,16.05,21.01,23.33,25.69,24.36,20.04,16.35,14.28,18.52,20.14,17.17,16.49,19.45
ALLSKY_SFC_SW_DWN,2005,15.0,20.58,23.38,23.69,24.01,20.39,12.95,15.75,16.66,17.42,18.89,16.45,18.77
ALLSKY_SFC_SW_DWN,2006,17.99,20.91,21.11,24.64,24.02,19.21,13.49,14.04,18.03,18.74,15.98,15.69,18.65
ALLSKY_SFC_SW_DWN,2007,16.91,19.74,22.47,24.79,24.66,18.14,16.04,16.2,16.55,19.76,17.8,15.74,19.07
ALLSKY_SFC_SW_DWN,2008,16.59,19.26,20.62,25.66,26.1,15.86,14.48,15.28,17.31,19.76,16.36,15.97,18.6
ALLSKY_SFC_SW_DWN,2009,16.56,19.44,21.74,25.98,24.97,21.41,13.76,15.77,19.22,19.07,15.95,15.38,19.1
ALLSKY_SFC_SW_DWN,2010,17.45,18.22,22.11,25.26,25.29,20.41,13.82,15.15,16.4,16.39,15.43,15.25,18.43
ALLSKY_SFC_SW_DWN,2011,17.51,18.96,23.12,23.75,24.76,17.34,15.08,14.78,16.93,19.26,17.7,15.99,18.76
ALLSKY_SFC_SW_DWN,2012,15.83,19.51,23.62,24.46,24.57,19.39,12.21,12.96,17.07,18.98,15.97,16.13,18.39
ALLSKY_SFC_SW_DWN,2013,15.36,18.64,21.91,24.32,25.01,14.77,10.36,12.68,17.89,16.5,16.59,15.86,17.49
ALLSKY_SFC_SW_DWN,2014,14.65,18.62,21.34,23.99,23.34,20.96,14.2,17.36,16.8,17.85,16.64,15.36,18.43
ALLSKY_SFC_SW_DWN,2015,15.92,19.58,20.78,24.01,24.43,18.02,16.82,14.82,18.66,18.86,16.49,15.24,18.64
ALLSKY_SFC_SW_DWN,2016,16.29,18.09,21.48,24.56,25.21,19.62,13.87,16.42,15.58,18.58,17.56,16.22,18.62
ALLSKY_SFC_SW_DWN,2017,16.03,20.63,23.68,26.13,24.37,18.86,14.65,14.92,17.71,17.51,17.07,16.06,18.97
ALLSKY_SFC_SW_DWN,2018,17.54,18.48,20.51,24.29,24.03,19.67,11.86,12.72,18.19,20.2,16.97,13.68,18.18
ALLSKY_SFC_SW_DWN,2019,16.23,19.64,22.79,24.53,25.93,21.48,14.97,13.03,12.8,15.89,16.25,13.62,18.1
CLOUD_AMT,1990,35.73,36.52,54.91,34.14,73.14,91.54,94.45,89.5,86.63,67.63,48.34,42.32,62.9
CLOUD_AMT,1991,49.58,39.16,30.19,43.77,35.12,85.55,94.69,94.85,80.36,59.17,55.33,50.35,59.84
CLOUD_AMT,1992,36.49,36.67,24.01,43.67,45.23,79.94,88.33,92.96,73.22,53.12,52.48,27.49,54.47
CLOUD_AMT,1993,25.67,37.46,52.44,49.38,51.5,86.74,89.89,94.69,90.31,74.17,38.62,49.38,61.69
CLOUD_AMT,1994,42.14,46.07,30.86,56.32,61.62,94.17,95.26,94.77,71.93,68.0,37.6,29.62,60.7
CLOUD_AMT,1995,39.87,46.54,54.26,45.12,63.28,82.38,90.45,88.98,74.87,59.18,37.31,36.02,59.85
CLOUD_AMT,1996,41.21,40.13,32.39,51.82,44.4,80.09,91.97,97.55,75.89,65.07,34.78,41.99,58.11
CLOUD_AMT,1997,41.65,24.41,46.42,45.48,39.61,72.32,94.69,86.03,83.9,48.77,60.64,68.8,59.39
CLOUD_AMT,1998,40.28,40.69,32.79,34.14,55.77,84.55,88.02,85.15,81.26,45.61,32.82,5.19,52.19
CLOUD_AMT,1999,2.59,16.2,5.21,14.14,53.52,79.97,88.53,86.95,89.93,52.49,14.28,6.5,42.53
CLOUD_AMT,2000,6.17,26.19,3.93,16.36,54.94,78.4,84.37,83.49,61.31,27.28,10.5,7.89,38.4
CLOUD_AMT,2001,42.35,37.97,42.05,37.95,41.82,86.7,95.57,89.34,69.14,46.62,16.1,33.49,53.26
CLOUD_AMT,2002,39.01,39.25,37.79,28.72,34.53,80.75,78.03,93.59,58.36,31.09,16.41,32.19,47.48
CLOUD_AMT,2003,46.3,34.45,38.02,36.9,35.22,75.15,93.81,95.47,91.88,44.47,14.77,28.01,52.87
CLOUD_AMT,2004,32.05,17.18,30.26,25.28,47.37,72.6,91.26,83.3,70.58,30.67,24.06,26.33,45.91
CLOUD_AMT,2005,46.31,19.77,28.52,43.25,45.53,74.19,95.23,81.04,71.25,44.89,16.68,29.9,49.71
CLOUD_AMT,2006,30.43,35.88,42.06,26.44,50.74,79.04,93.83,89.62,73.59,25.55,31.26,26.91,50.45
CLOUD_AMT,2007,38.19,33.56,30.71,29.04,40.55,84.8,90.05,91.86,85.46,32.28,13.45,30.25,50.02
CLOUD_AMT,2008,29.78,36.52,53.57,19.88,30.15,90.47,94.17,88.4,70.59,27.59,34.11,33.06,50.69
CLOUD_AMT,2009,34.97,35.1,42.92,23.92,54.52,68.02,87.99,89.66,61.13,27.58,34.88,28.71,49.12
CLOUD_AMT,2010,19.59,46.71,27.54,28.25,41.54,71.59,95.31,95.72,75.11,53.3,37.34,31.94,51.99
CLOUD_AMT,2011,26.0,35.99,29.72,37.94,42.95,81.0,87.93,95.75,74.53,29.71,13.16,31.71,48.87
CLOUD_AMT,2012,33.64,30.19,34.02,39.99,44.51,74.45,95.14,91.12,76.3,38.19,22.17,29.88,50.8
CLOUD_AMT,2013,35.71,34.58,37.35,30.3,48.47,89.17,96.98,91.63,70.76,53.35,21.4,22.82,52.71
CLOUD_AMT,2014,43.41,43.48,39.91,35.85,54.91,72.85,92.28,84.86,63.31,34.66,32.66,35.79,52.83
CLOUD_AMT,2015,34.27,31.31,41.52,32.52,47.89,83.33,86.61,85.78,63.85,27.81,26.1,31.48,49.37
CLOUD_AMT,2016,43.38,47.24,42.96,30.48,44.09,79.68,93.88,88.84,84.45,32.02,13.1,31.1,52.6
CLOUD_AMT,2017,36.66,9.67,15.34,25.91,54.97,85.46,92.32,91.01,74.84,51.71,23.92,23.76,48.8
CLOUD_AMT,2018,9.64,33.02,32.63,39.7,61.62,80.68,96.45,95.17,56.6,20.48,25.77,32.74,48.71
CLOUD_AMT,2019,17.4,21.85,16.48,44.98,47.16,76.1,90.46,91.57,91.66,55.44,22.62,41.68,51.45
GWETPROF,1990,0.62,0.59,0.58,0.58,0.59,0.68,0.76,0.83,0.83,0.81,0.71,0.63,0.68
GWETPROF,1991,0.59,0.58,0.58,0.58,0.58,0.65,0.69,0.81,0.73,0.62,0.59,0.59,0.63
GWETPROF,1992,0.58,0.58,0.58,0.58,0.58,0.6,0.65,0.81,0.84,0.72,0.64,0.6,0.65
GWETPROF,1993,0.59,0.58,0.61,0.59,0.58,0.63,0.8,0.88,0.89,0.88,0.76,0.67,0.71
GWETPROF,1994,0.62,0.6,0.58,0.58,0.58,0.63,0.83,0.9,0.93,0.8,0.69,0.62,0.7
GWETPROF,1995,0.62,0.59,0.59,0.59,0.58,0.6,0.75,0.84,0.88,0.77,0.67,0.61,0.67
GWETPROF,1996,0.59,0.59,0.58,0.59,0.58,0.59,0.64,0.75,0.82,0.75,0.66,0.61,0.65
GWETPROF,1997,0.6,0.59,0.58,0.59,0.58,0.61,0.68,0.72,0.78,0.7,0.65,0.7,0.65
GWETPROF,1998,0.64,0.62,0.59,0.58,0.58,0.61,0.69,0.82,0.9,0.85,0.78,0.69,0.7
GWETPROF,1999,0.62,0.59,0.58,0.58,0.59,0.63,0.71,0.84,0.85,0.89,0.75,0.65,0.69
GWETPROF,2000,0.6,0.59,0.58,0.58,0.59,0.63,0.75,0.77,0.77,0.65,0.59,0.58,0.64
GWETPROF,2001,0.59,0.58,0.59,0.59,0.59,0.66,0.71,0.82,0.77,0.79,0.67,0.61,0.66
GWETPROF,2002,0.59,0.59,0.58,0.58,0.59,0.64,0.73,0.78,0.82,0.68,0.61,0.59,0.65
GWETPROF,2003,0.58,0.59,0.59,0.59,0.58,0.63,0.81,0.89,0.89,0.83,0.7,0.62,0.69
GWETPROF,2004,0.6,0.59,0.58,0.58,0.58,0.61,0.66,0.82,0.74,0.67,0.61,0.59,0.64
GWETPROF,2005,0.59,0.63,0.59,0.58,0.58,0.6,0.76,0.9,0.88,0.83,0.73,0.65,0.69
GWETPROF,2006,0.6,0.59,0.62,0.59,0.59,0.61,0.76,0.89,0.93,0.85,0.72,0.64,0.7
GWETPROF,2007,0.6,0.59,0.58,0.58,0.58,0.62,0.78,0.84,0.87,0.77,0.66,0.61,0.67
GWETPROF,2008,0.59,0.58,0.59,0.58,0.58,0.64,0.71,0.85,0.86,0.78,0.65,0.6,0.67
GWETPROF,2009,0.59,0.58,0.58,0.58,0.59,0.6,0.81,0.82,0.83,0.74,0.66,0.62,0.67
GWETPROF,2010,0.6,0.59,0.58,0.58,0.58,0.61,0.82,0.96,0.97,0.87,0.77,0.69,0.72
GWETPROF,2011,0.62,0.59,0.58,0.59,0.59,0.62,0.71,0.83,0.91,0.78,0.65,0.6,0.67
GWETPROF,2012,0.59,0.59,0.58,0.58,0.58,0.63,0.75,0.91,0.94,0.85,0.72,0.64,0.7
GWETPROF,2013,0.6,0.59,0.59,0.58,0.58,0.69,0.9,0.95,0.89,0.88,0.76,0.66,0.72
GWETPROF,2014,0.61,0.59,0.61,0.59,0.59,0.59,0.68,0.76,0.81,0.68,0.61,0.59,0.64
GWETPROF,2015,0.6,0.59,0.6,0.6,0.59,0.67,0.71,0.8,0.78,0.68,0.6,0.59,0.65
GWETPROF,2016,0.58,0.58,0.59,0.58,0.58,0.61,0.84,0.91,0.84,0.83,0.69,0.62,0.69
GWETPROF,2017,0.59,0.58,0.58,0.58,0.58,0.62,0.68,0.71,0.73,0.68,0.61,0.59,0.63
GWETPROF,2018,0.58,0.59,0.58,0.58,0.58,0.66,0.81,0.82,0.78,0.66,0.6,0.59,0.65
GWETPROF,2019,0.58,0.58,0.58,0.58,0.58,0.6,0.69,0.84,0.87,0.84,0.76,0.67,0.68
GWETROOT,1990,0.61,0.58,0.58,0.57,0.59,0.69,0.76,0.83,0.82,0.81,0.7,0.62,0.68
GWETROOT,1991,0.59,0.57,0.57,0.57,0.57,0.65,0.69,0.81,0.71,0.61,0.58,0.58,0.63
GWETROOT,1992,0.57,0.57,0.57,0.57,0.57,0.6,0.65,0.82,0.83,0.71,0.63,0.6,0.64
GWETROOT,1993,0.58,0.57,0.61,0.58,0.57,0.63,0.8,0.88,0.9,0.87,0.75,0.66,0.7
GWETROOT,1994,0.61,0.6,0.58,0.58,0.57,0.64,0.84,0.91,0.93,0.79,0.68,0.61,0.69
GWETROOT,1995,0.61,0.58,0.59,0.58,0.58,0.6,0.76,0.84,0.87,0.76,0.66,0.6,0.67
GWETROOT,1996,0.58,0.58,0.58,0.58,0.57,0.58,0.65,0.76,0.82,0.74,0.65,0.6,0.64
GWETROOT,1997,0.6,0.58,0.57,0.58,0.58,0.61,0.68,0.72,0.78,0.69,0.65,0.7,0.65
GWETROOT,1998,0.64,0.61,0.58,0.57,0.58,0.61,0.69,0.82,0.9,0.85,0.78,0.68,0.69
GWETROOT,1999,0.61,0.59,0.57,0.57,0.58,0.63,0.71,0.84,0.85,0.89,0.74,0.64,0.69
GWETROOT,2000,0.59,0.58,0.58,0.57,0.58,0.64,0.75,0.77,0.76,0.63,0.58,0.58,0.63
GWETROOT,2001,0.58,0.57,0.58,0.58,0.58,0.67,0.71,0.82,0.76,0.79,0.66,0.6,0.66
GWETROOT,2002,0.58,0.58,0.57,0.57,0.58,0.65,0.72,0.78,0.82,0.67,0.6,0.58,0.64
GWETROOT,2003,0.57,0.59,0.59,0.58,0.57,0.63,0.81,0.9,0.88,0.82,0.69,0.61,0.69
GWETROOT,2004,0.59,0.59,0.57,0.57,0.58,0.61,0.66,0.82,0.74,0.66,0.6,0.58,0.63
GWETROOT,2005,0.58,0.62,0.58,0.57,0.57,0.6,0.77,0.9,0.88,0.82,0.72,0.64,0.69
GWETROOT,2006,0.59,0.58,0.62,0.58,0.59,0.61,0.76,0.89,0.94,0.84,0.71,0.63,0.7
GWETROOT,2007,0.59,0.58,0.57,0.57,0.57,0.62,0.78,0.84,0.87,0.76,0.65,0.6,0.67
GWETROOT,2008,0.58,0.58,0.58,0.58,0.57,0.65,0.71,0.85,0.86,0.76,0.64,0.59,0.66
GWETROOT,2009,0.58,0.57,0.58,0.57,0.58,0.6,0.82,0.82,0.82,0.73,0.65,0.61,0.66
GWETROOT,2010,0.59,0.58,0.58,0.57,0.57,0.61,0.82,0.98,0.98,0.86,0.76,0.67,0.71
GWETROOT,2011,0.61,0.58,0.58,0.58,0.58,0.62,0.72,0.83,0.92,0.76,0.64,0.59,0.67
GWETROOT,2012,0.58,0.58,0.57,0.57,0.57,0.63,0.75,0.91,0.95,0.84,0.71,0.63,0.69
GWETROOT,2013,0.59,0.58,0.58,0.58,0.57,0.7,0.9,0.96,0.89,0.88,0.74,0.65,0.72
GWETROOT,2014,0.6,0.58,0.61,0.58,0.58,0.59,0.69,0.76,0.8,0.67,0.6,0.58,0.64
GWETROOT,2015,0.6,0.58,0.59,0.6,0.58,0.67,0.7,0.79,0.77,0.66,0.59,0.58,0.64
GWETROOT,2016,0.57,0.57,0.58,0.57,0.58,0.62,0.85,0.91,0.84,0.82,0.68,0.61,0.68
GWETROOT,2017,0.58,0.58,0.57,0.57,0.57,0.62,0.69,0.7,0.72,0.67,0.6,0.58,0.62
GWETROOT,2018,0.57,0.58,0.58,0.58,0.57,0.67,0.81,0.82,0.77,0.64,0.59,0.58,0.65
GWETROOT,2019,0.58,0.58,0.57,0.57,0.57,0.59,0.7,0.84,0.87,0.83,0.76,0.66,0.68
PRECTOTCORR,1990,0.15,0.07,0.34,0.0,2.87,9.13,8.44,8.2,2.94,4.1,0.0,0.0,3.02
PRECTOTCORR,1991,0.0,0.0,0.0,0.0,0.0,5.99,9.01,6.45,0.43,0.34,0.42,0.06,1.89
PRECTOTCORR,1992,0.0,0.0,0.0,0.17,0.23,3.29,5.7,10.87,4.04,1.68,1.05,0.0,2.25
PRECTOTCORR,1993,0.0,0.28,2.19,0.06,0.68,6.78,11.98,5.92,9.14,3.15,0.0,0.23,3.37
PRECTOTCORR,1994,0.37,1.28,0.0,0.58,0.2,5.49,14.26,11.37,7.78,2.91,0.36,0.0,3.72
PRECTOTCORR,1995,1.68,0.01,1.71,0.27,0.25,3.79,11.61,5.3,8.27,1.86,0.02,0.01,2.9
PRECTOTCORR,1996,0.02,0.48,0.14,1.22,0.16,1.16,7.23,7.08,5.61,2.54,0.45,0.0,2.17
PRECTOTCORR,1997,1.26,0.0,0.01,0.43,0.33,4.81,6.2,7.88,4.08,2.02,3.32,2.0,2.7
PRECTOTCORR,1998,0.21,1.29,0.85,0.16,0.42,3.97,7.64,8.14,7.0,2.52,2.34,0.0,2.88
PRECTOTCORR,1999,0.01,0.54,0.01,0.0,1.01,4.88,6.84,9.42,7.52,3.91,0.0,0.0,2.85
PRECTOTCORR,2000,0.0,0.77,0.0,0.0,1.74,4.74,8.69,6.34,2.48,0.29,0.0,0.19,2.1
PRECTOTCORR,2001,0.38,0.0,0.64,0.84,1.12,7.64,5.82,7.62,3.58,4.87,0.0,0.0,2.71
PRECTOTCORR,2002,0.32,0.43,0.05,0.22,1.39,9.8,3.35,10.57,2.68,1.01,0.17,0.0,2.5
PRECTOTCORR,2003,0.01,1.11,1.23,0.34,0.0,8.66,10.35,9.4,4.53,0.84,0.05,0.15,3.06
PRECTOTCORR,2004,1.02,0.17,0.05,0.14,0.64,3.67,8.38,5.56,2.74,0.89,0.57,0.0,1.99
PRECTOTCORR,2005,2.79,0.04,0.53,0.21,0.29,5.4,10.42,5.47,9.56,3.16,0.0,0.06,3.16
PRECTOTCORR,2006,0.0,0.0,3.05,0.18,1.78,4.49,11.78,11.69,9.23,0.4,0.4,0.0,3.58
PRECTOTCORR,2007,0.0,0.06,0.14,0.24,0.27,8.0,7.41,6.8,7.5,0.22,0.54,0.0,2.6
